,기준년도,사용본거지시읍면동_행정동기준,차명,연료
88435,2022,서울특별시 강남구 개포동,Model 3 Standard Range Plus ,전기
88436,2022,서울특별시 강남구 개포동,Model 3 Standard Range Plus ,전기
88437,2022,서울특별시 강남구 개포동,CHEVROLET BOLT EV,전기
88438,2022,서울특별시 강남구 개포동,GV60,전기
88439,2022,서울특별시 강남구 개포동,Model Y Long Range,전기
88440,2022,서울특별시 강남구 개포동,아이오닉 일렉트릭(IONIQ ELEC,전기
88441,2022,서울특별시 강남구 개포동,EV6,전기
88442,2022,서울특별시 강남구 개포동,Model 3 Long Range,전기
88443,2022,서울특별시 강남구 개포동,코나 일렉트릭 (KONA ELECTRIC,전기
88444,2022,서울특별시 강남구 개포동,EV6,전기
88445,2022,서울특별시 강남구 개포동,Model 3 Long Range,전기
88446,2022,서울특별시 강남구 개포동,포터Ⅱ 일렉트릭 내장탑차 (PO,전기
88447,2022,서울특별시 강남구 개포동,Model S 100D,전기
88448,2022,서울특별시 강남구 개포동,Model 3 Long Range,전기
88449,2022,서울특별시 강남구 개포동,Model 3 Long Range,전기
88450,2022,서울특별시 강남구 개포동,코나 일렉트릭 (KONA ELECTRIC,전기
88451,2022,서울특별시 강남구 개포동,Model X Performance,전기
88452,2022,서울특별시 강남구 개포동,e-tron 55 quattro,전기
88453,2022,서울특별시 강남구 논현동,CHEVROLET BOLT EV,전기
88454,2022,서울특별시 강남구 개포동,G80,전기
88455,2022,서울특별시 강남구 개포동,Model 3 Long Range,전기
88456,2022,서울특별시 강남구 개포동,Peugeot e-208,전기
88457,2022,서울특별시 강남구 논현동,LEAF,전기
88458,2022,서울특별시 강남구 논현동,Model 3 Standard Range Plus ,전기
88459,2022,서울특별시 강남구 논현동,EV6,전기
88460,2022,서울특별시 강남구 논현동,e-tron 55 quattro,전기
88461,2022,서울특별시 강남구 개포동,Model 3 Long Range,전기
88462,2022,서울특별시 강남구 개포동,Model 3 Long Range,전기
88463,2022,서울특별시 강남구 개포동,포터Ⅱ 일렉트릭 (PORTERⅡ EL,전기
88464,2022,서울특별시 강남구 논현동,TWIZY,전기
88465,2022,서울특별시 강남구 논현동,Model 3 Long Range,전기
88466,2022,서울특별시 강남구 논현동,Model 3 Long Range,전기
88467,2022,서울특별시 강남구 논현동,Model S 100D,전기
88468,2022,서울특별시 강남구 논현동,볼보 C40 Recharge Twin,전기
88469,2022,서울특별시 강남구 논현동,아이오닉5 (IONIQ5),전기
88470,2022,서울특별시 강남구 논현동,Model S Long Range,전기
88471,2022,서울특별시 강남구 논현동,Model X 100D,전기
88472,2022,서울특별시 강남구 논현동,아이오닉5 (IONIQ5),전기
88473,2022,서울특별시 강남구 논현동,Model 3 Long Range,전기
88474,2022,서울특별시 강남구 논현동,봉고Ⅲ EV 내장차,전기
88475,2022,서울특별시 강남구 대치동,코나 일렉트릭 (KONA ELECTRIC,전기
88476,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88477,2022,서울특별시 강남구 대치동,G80,전기
88478,2022,서울특별시 강남구 논현동,TWIZY,전기
88479,2022,서울특별시 강남구 논현동,Model 3 Long Range,전기
88480,2022,서울특별시 강남구 논현동,봉고Ⅲ EV 내장차,전기
88481,2022,서울특별시 강남구 대치동,아이오닉 일렉트릭(IONIQ ELEC,전기
88482,2022,서울특별시 강남구 대치동,EV6,전기
88483,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88484,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88485,2022,서울특별시 강남구 대치동,쏘울 EV,전기
88486,2022,서울특별시 강남구 대치동,쏘울 EV,전기
88487,2022,서울특별시 강남구 대치동,코나 일렉트릭 (KONA ELECTRIC,전기
88488,2022,서울특별시 강남구 대치동,EV6,전기
88489,2022,서울특별시 강남구 대치동,EV6,전기
88490,2022,서울특별시 강남구 대치동,EV6,전기
88491,2022,서울특별시 강남구 대치동,EV6,전기
88492,2022,서울특별시 강남구 대치동,EV6,전기
88493,2022,서울특별시 강남구 대치동,EV6,전기
88494,2022,서울특별시 강남구 대치동,CEVO-C SE,전기
88495,2022,서울특별시 강남구 대치동,CEVO-C SE,전기
88496,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88497,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88498,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88499,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88500,2022,서울특별시 강남구 대치동,쏘울 EV,전기
88501,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88502,2022,서울특별시 강남구 대치동,EV6,전기
88503,2022,서울특별시 강남구 대치동,EV6,전기
88504,2022,서울특별시 강남구 대치동,EV6,전기
88505,2022,서울특별시 강남구 대치동,EV6,전기
88506,2022,서울특별시 강남구 대치동,EV6,전기
88507,2022,서울특별시 강남구 대치동,EV6,전기
88508,2022,서울특별시 강남구 대치동,EV6,전기
88509,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88510,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88511,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88512,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88513,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88514,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88515,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88516,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88517,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88518,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88519,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88520,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88521,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88522,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88523,2022,서울특별시 강남구 대치동,EV6,전기
88524,2022,서울특별시 강남구 대치동,EV6,전기
88525,2022,서울특별시 강남구 대치동,EV6,전기
88526,2022,서울특별시 강남구 대치동,EV6,전기
88527,2022,서울특별시 강남구 대치동,EV6,전기
88528,2022,서울특별시 강남구 대치동,EV6,전기
88529,2022,서울특별시 강남구 대치동,CEVO-C SE,전기
88530,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88531,2022,서울특별시 강남구 대치동,EV6,전기
88532,2022,서울특별시 강남구 대치동,EV6,전기
88533,2022,서울특별시 강남구 대치동,EV6,전기
88534,2022,서울특별시 강남구 대치동,EV6,전기
88535,2022,서울특별시 강남구 대치동,EV6,전기
88536,2022,서울특별시 강남구 대치동,EV6,전기
88537,2022,서울특별시 강남구 대치동,EV6,전기
88538,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88539,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88540,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88541,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88542,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88543,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88544,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88545,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88546,2022,서울특별시 강남구 대치동,EV6,전기
88547,2022,서울특별시 강남구 대치동,EV6,전기
88548,2022,서울특별시 강남구 대치동,EV6,전기
